,val_loss,loss
0,6998.40146606091,9481.331149162032
1,3805.4629769099743,4939.531470665598
2,4178.193698845932,4159.76229867184
3,3621.9555211934794,3853.8902408335393
4,3259.453611891798,3462.901579984704
5,3257.3940625600244,3176.0673928640526
6,3209.3413374943534,3284.1705089233424
7,3726.180924807077,3444.2921580780358
8,3458.2197803065064,3773.8203044198845
9,2631.443611782865,3105.5149647169324
10,3060.7741793284654,2881.2559973304797
11,2946.9539972424377,3024.5909976915163
12,3155.534646710133,3150.810224840047
13,2635.3309576481665,2931.206497331542
14,2328.383655355526,2470.804702296191
15,2266.2763672291835,2407.987984996447
16,2800.050105309352,2377.8974773927525
17,2295.755195842159,2787.4907006077387
18,2681.0929741021696,2651.359584427018
19,2940.1007355120164,2954.441805245625
20,2948.9826613331716,2872.4742021413363
