	Mark	Latitude	Longitude
1	AHTI	-38.411447554	178.046002897
2	AKTO	-40.53980682	176.46122191
3	ANAU	-38.268212852	178.291223348
10	BIRF	-40.67976734	176.24610828
15	CAST	-40.90981771	176.20155589
18	CKID	-39.65787439	177.07635309
29	CNST	-38.48796629	178.21114352900003
31	DNVK	-40.298857658459994	176.16665827913002
37	FRTN	-38.939296943	177.409873784
39	GISB	-38.63533692384	177.88603492341
48	HANA	-38.686822718	177.569366285
50	HAST	-39.61703293042	176.72656394563998
51	HIKB	-37.56104136669	178.30335250666
53	HOLD	-40.897248036	175.515190045
55	KAHU	-39.79375204	176.87627798
59	KAWK	-39.424040000000005	176.42276999999999
60	KERE	-39.64315592	176.37013505
61	KOKO	-39.01610531	177.667786
64	KUTA	-39.172259999999994	177.06976
68	LEYL	-39.332320765	176.93673005
75	MAHI	-39.152563727	177.90700192
77	MAKO	-38.6437598	178.12911609999998
78	MANG	-40.66869722	175.57486925
80	MATW	-38.33384691	177.5262032
82	MCNL	-39.444191609	176.696548844
86	MNHR	-40.468646217	176.223377237
100	NMAI	-39.09704167	176.806622735
102	NRRD	-40.385438526	175.761337945
103	NRSW	-40.113323422	176.200037533
106	OPTK	-38.046521999	177.307578963
107	OROA	-40.10435506	176.68067166
111	PAKI	-37.89398	178.0826
113	PARI	-38.92257263	177.883276367
115	PAWA	-40.03308057	176.86388246
120	PNUI	-39.91677899	176.2004619
121	PORA	-40.26637863	176.63521633
122	PRTU	-38.814193241	177.69787848299998
123	PTOI	-40.60106131	175.99926884
124	PUKE	-38.07141492	178.25735958099997
127	RAHI	-38.916179094	177.086052871
128	RAKW	-39.747201862	176.621161167
130	RAUM	-37.965002597	177.67752530299998
131	RAWI	-38.495555956	177.415398552
154	RIPA	-39.165523807	176.49251215
157	SNST	-38.779631498	177.347494834
160	TAKP	-40.061564113	175.962920076
162	TAUW	-38.162424733	178.00587684099997
174	TINT	-40.77603359	175.88567373
175	TKAR	-38.437470000000005	177.81144
181	TURI	-40.26498279	176.38255849200002
210	WAHU	-39.077210643	177.23441356599997
222	WMAT	-37.825	178.4087
223	WPAW	-39.89587961	176.54300597
224	WPUK	-40.06420523	176.44059928
